topic_id,macro_topic,source,year,year_frequency,year_document_count,denominator_source_docs_in_macro_topic,relative_share_of_macro_topic_source_docs,annual_source_macro_document_count,annual_document_prevalence
academic_T1::academic_T1_PG01,T1,academic,2000,2,2,21946,9.113278046113187e-05,9,0.2222222222222222
academic_T1::academic_T1_PG01,T1,academic,2001,6,6,21946,0.0002733983413833956,23,0.2608695652173913
academic_T1::academic_T1_PG01,T1,academic,2002,6,6,21946,0.0002733983413833956,21,0.2857142857142857
academic_T1::academic_T1_PG01,T1,academic,2003,1,1,21946,4.5566390230565937e-05,18,0.05555555555555555
academic_T1::academic_T1_PG01,T1,academic,2004,5,5,21946,0.00022783195115282968,24,0.20833333333333334
academic_T1::academic_T1_PG01,T1,academic,2005,7,7,21946,0.00031896473161396156,38,0.18421052631578946
academic_T1::academic_T1_PG01,T1,academic,2006,6,6,21946,0.0002733983413833956,50,0.12
academic_T1::academic_T1_PG01,T1,academic,2007,8,8,21946,0.0003645311218445275,50,0.16
academic_T1::academic_T1_PG01,T1,academic,2008,20,20,21946,0.0009113278046113187,75,0.26666666666666666
academic_T1::academic_T1_PG01,T1,academic,2009,11,11,21946,0.0005012302925362252,73,0.1506849315068493
academic_T1::academic_T1_PG01,T1,academic,2010,26,26,21946,0.0011847261459947142,119,0.2184873949579832
academic_T1::academic_T1_PG01,T1,academic,2011,42,42,21946,0.0019137883896837692,136,0.3088235294117647
academic_T1::academic_T1_PG01,T1,academic,2012,34,34,21946,0.0015492572678392417,181,0.1878453038674033
academic_T1::academic_T1_PG01,T1,academic,2013,62,62,21946,0.0028251161942950877,215,0.28837209302325584
academic_T1::academic_T1_PG01,T1,academic,2014,59,59,21946,0.0026884170236033903,272,0.21691176470588236
academic_T1::academic_T1_PG01,T1,academic,2015,95,95,21946,0.004328807071903764,357,0.2661064425770308
academic_T1::academic_T1_PG01,T1,academic,2016,102,102,21946,0.004647771803517726,372,0.27419354838709675
academic_T1::academic_T1_PG01,T1,academic,2017,125,125,21946,0.005695798778820742,441,0.2834467120181406
academic_T1::academic_T1_PG01,T1,academic,2018,219,219,21946,0.00997903946049394,870,0.2517241379310345
academic_T1::academic_T1_PG01,T1,academic,2019,341,341,21946,0.015538139068622983,1308,0.2607033639143731
academic_T1::academic_T1_PG01,T1,academic,2020,394,394,21946,0.01795315775084298,1524,0.2585301837270341
academic_T1::academic_T1_PG01,T1,academic,2021,467,467,21946,0.02127950423767429,1700,0.2747058823529412
academic_T1::academic_T1_PG01,T1,academic,2022,650,650,21946,0.02961815364986786,2007,0.3238664673642252
